                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.58922,                0.65984,                 1.0979,                0.91187,                0.96013,                 0.9544,                0.87305,                0.44147,                0.47422,                0.93604,             0.00013203,             0.00013203,             0.00013203
                     87,                0.57279,                 0.6208,                  1.075,                0.91133,                 0.9597,                0.95403,                0.87044,                0.44023,                0.46636,                0.93226,             0.00012378,             0.00012378,             0.00012378
                     88,                0.55975,                0.62104,                 1.0764,                0.91522,                0.95586,                0.95133,                0.86731,                0.43996,                0.46108,                0.93227,             0.00011554,             0.00011554,             0.00011554
                     89,                0.56454,                0.62066,                 1.0826,                 0.9049,                0.96848,                0.95321,                0.86743,                 0.4336,                0.45872,                0.92678,             0.00010729,             0.00010729,             0.00010729
                     90,                0.55219,                 0.6197,                 1.0667,                0.90683,                0.96749,                0.95476,                0.87432,                0.43039,                0.45494,                0.92364,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.55004,                0.81006,                 1.0957,                0.89352,                0.98313,                0.95171,                0.86662,                0.43911,                0.46605,                0.92521,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                 0.5346,                0.73601,                 1.0751,                0.89346,                0.98379,                 0.9534,                0.85298,                0.47516,                0.50997,                0.94958,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.50832,                0.65034,                 1.0703,                0.88917,                0.98462,                0.95028,                0.86076,                0.45011,                0.49467,                0.93116,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.50205,                0.61053,                 1.0439,                0.89698,                 0.9561,                0.95058,                0.86663,                0.44482,                0.48443,                0.92723,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.49037,                0.59109,                 1.0901,                0.88742,                0.98453,                0.95003,                0.86817,                0.43521,                0.48828,                0.92238,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.48018,                0.59584,                 1.0536,                0.89018,                 0.9561,                0.95066,                0.87106,                0.42226,                0.48792,                0.91589,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.48203,                0.58993,                 1.0761,                0.89188,                0.97848,                0.94989,                0.87273,                 0.4167,                0.48443,                0.91305,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.48803,                0.59307,                 1.0455,                0.89529,                0.96444,                0.95179,                0.87732,                0.41375,                0.47813,                0.91259,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.47202,                0.58203,                 1.0537,                 0.8948,                 0.9811,                0.95517,                0.87969,                0.41162,                0.47263,                0.91158,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                0.46333,                0.56103,                 1.0439,                0.89536,                0.97402,                0.95428,                 0.8768,                0.41462,                0.47076,                0.91323,             1.6577e-05,             1.6577e-05,             1.6577e-05
